qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner io_heavy.txt hints.txt
TRACE tick=77 pid=4 pri=0 slice=0
TRACE tick=77 pid=4 pri=0 slice=0
TRACE tick=77 pid=4 pri=0 slice=0
TRACE tick=78 pid=4 pri=0 slice=0
TRACE tick=78 pid=4 pri=0 slice=0
TRACE tick=78 pid=4 pri=0 slice=0
TRACE tick=78 pid=4 pri=0 slice=0
TRACE tick=78 pid=5 pri=0 slice=0
TRACE tick=79 pid=4 pri=0 slice=0
TRACE tick=79 pid=6 pri=0 slice=0
TRACE tick=79 pid=4 pri=0 slice=0
TRACE tick=79 pid=7 pri=0 slice=0
TRACE tick=79 pid=4 pri=0 slice=0
TRACE tick=79 pid=4 pri=0 slice=0
TRACE tick=80 pid=4 pri=0 slice=0
TRACE tick=80 pid=4 pri=0 slice=0
TRACE tick=80 pid=4 pri=0 slice=0
TRACE tick=80 pid=4 pri=0 slice=0
TRACE tick=80 pid=4 pri=0 slice=0
TRACE tick=81 pid=5 pri=0 slice=0
TRACE tick=81 pid=4 pri=0 slice=0
TRACE tick=81 pid=6 pri=0 slice=0
TRACE tick=81 pid=4 pri=0 slice=0
TRACE tick=81 pid=4 pri=0 slice=0
TRACE tick=82 pid=4 pri=0 slice=0
TRACE tick=82 pid=4 pri=0 slice=0
TRACE tick=82 pid=7 pri=0 slice=0
TRACE tick=82 pid=4 pri=0 slice=0
TRACE tick=82 pid=4 pri=0 slice=0
TRACE tick=82 pid=4 pri=0 slice=0
TRACE tick=83 pid=4 pri=0 slice=0
TRACE tick=83 pid=5 pri=0 slice=0
TRACE tick=83 pid=5 pri=0 slice=0
TRACE tick=83 pid=6 pri=0 slice=0
TRACE tick=84 pid=4 pri=0 slice=0
TRACE tick=84 pid=5 pri=0 slice=0
TRACE tick=84 pid=7 pri=0 slice=0
TRACE tick=84 pid=5 pri=0 slice=0
TRACE tick=84 pid=5 pri=0 slice=0
