qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner mixed.txt hints.txt
TRACE tick=94 pid=9 pri=1 slice=0
TRACE tick=94 pid=7 pri=0 slice=0
TRACE tick=94 pid=10 pri=1 slice=0
TRACE tick=94 pid=7 pri=0 slice=0
TRACE tick=94 pid=4 pri=2 slice=0
TRACE tick=94 pid=7 pri=0 slice=0
TRACE tick=95 pid=7 pri=0 slice=0
TRACE tick=95 pid=7 pri=0 slice=0
TRACE tick=95 pid=7 pri=0 slice=0
TRACE tick=95 pid=6 pri=1 slice=0
TRACE tick=95 pid=7 pri=0 slice=0
TRACE tick=95 pid=8 pri=1 slice=0
TRACE tick=95 pid=7 pri=0 slice=0
TRACE tick=96 pid=9 pri=1 slice=0
TRACE tick=96 pid=7 pri=0 slice=0
TRACE tick=96 pid=10 pri=1 slice=0
TRACE tick=96 pid=7 pri=0 slice=0
TRACE tick=96 pid=4 pri=2 slice=0
TRACE tick=96 pid=7 pri=0 slice=0
TRACE tick=96 pid=5 pri=2 slice=0
TRACE tick=96 pid=7 pri=0 slice=0
TRACE tick=97 pid=7 pri=0 slice=0
TRACE tick=97 pid=7 pri=0 slice=0
TRACE tick=97 pid=7 pri=0 slice=0
EXIT pid=6 name=mixed_burner arrival=22 completion=97 run=2 ioblock=10 final_pri=1
TRACE tick=97 pid=6 pri=1 slice=0
TRACE tick=97 pid=3 pri=1 slice=0
TRACE tick=98 pid=7 pri=0 slice=0
TRACE tick=98 pid=7 pri=0 slice=0
TRACE tick=98 pid=7 pri=0 slice=0
TRACE tick=98 pid=8 pri=1 slice=0
TRACE tick=98 pid=7 pri=0 slice=0
TRACE tick=99 pid=9 pri=1 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=10 pri=1 slice=0
TRACE tick=99 pid=7 pri=0 slice=0
TRACE tick=99 pid=8 pri=1 slice=0
TRACE tick=100 pid=4 pri=0 slice=0
TRACE tick=100 pid=5 pri=0 slice=0
TRACE tick=100 pid=7 pri=0 slice=0
TRACE tick=100 pid=9 pri=0 slice=0
TRACE tick=100 pid=7 pri=0 slice=0
TRACE tick=100 pid=7 pri=0 slice=0
TRACE tick=100 pid=7 pri=0 slice=0
TRACE tick=100 pid=7 pri=0 slice=0
TRACE tick=101 pid=9 pri=0 slice=0
TRACE tick=101 pid=7 pri=0 slice=0
TRACE tick=101 pid=10 pri=0 slice=0
TRACE tick=101 pid=7 pri=0 slice=0
TRACE tick=101 pid=7 pri=0 slice=0
TRACE tick=101 pid=4 pri=0 slice=0
TRACE tick=101 pid=5 pri=0 slice=0
TRACE tick=102 pid=7 pri=0 slice=0
TRACE tick=102 pid=7 pri=0 slice=0
TRACE tick=102 pid=7 pri=0 slice=0
TRACE tick=102 pid=8 pri=0 slice=0
TRACE tick=102 pid=7 pri=0 slice=0
TRACE tick=102 pid=7 pri=0 slice=0
TRACE tick=103 pid=7 pri=0 slice=0
TRACE tick=103 pid=7 pri=0 slice=0
TRACE tick=103 pid=9 pri=0 slice=0
TRACE tick=103 pid=7 pri=0 slice=0
TRACE tick=103 pid=10 pri=0 slice=0
TRACE tick=103 pid=7 pri=0 slice=0
TRACE tick=103 pid=7 pri=0 slice=0
TRACE tick=104 pid=7 pri=0 slice=1
cpu_burner pid=4 done acc=1347020161
EXIT pid=4 name=cpu_burner arrival=21 completion=104 run=0 ioblock=8 final_pri=0
TRACE tick=104 pid=4 pri=0 slice=0
TRACE tick=105 pid=4 pri=0 slice=1
TRACE tick=105 pid=3 pri=0 slice=0
cpu_burner pid=5 done TRACE tick=105 pid=5 pri=0 slice=0
acc=159194625
EXIT pid=5 name=cpu_burner arrival=22 completion=106 run=1 ioblock=7 final_pri=0
TRACE tick=106 pid=5 pri=0 slice=1
TRACE tick=106 pid=3 pri=0 slice=0
TRACE tick=106 pid=7 pri=0 slice=0
TRACE tick=107 pid=8 pri=0 slice=0
