make: Warning: File 'fs.img' has modification time 0.23 s in the future
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ wrunner realprog.txt hints.txt
1TRACE tick=69 pid=4 pri=0 slice=0
-TRACE tick=69 pid=4 pri=0 slice=0
5TRACE tick=70 pid=4 pri=0 slice=0
7TRACE tick=70 pid=4 pri=0 slice=0
3TRACE tick=70 pid=4 pri=0 slice=0
9TRACE tick=70 pid=4 pri=0 slice=0
8TRACE tick=70 pid=4 pri=0 slice=0
-TRACE tick=70 pid=4 pri=0 slice=0
0TRACE tick=70 pid=4 pri=0 slice=0
1TRACE tick=70 pid=4 pri=0 slice=0
3TRACE tick=70 pid=4 pri=0 slice=0
-TRACE tick=71 pid=4 pri=0 slice=0
7TRACE tick=71 pid=4 pri=0 slice=0
;TRACE tick=71 pid=4 pri=0 slice=0
 TRACE tick=71 pid=4 pri=0 slice=0
1TRACE tick=71 pid=4 pri=0 slice=0
sTRACE tick=71 pid=4 pri=0 slice=0
tTRACE tick=71 pid=4 pri=0 slice=0
 TRACE tick=71 pid=4 pri=0 slice=0
eTRACE tick=71 pid=4 pri=0 slice=0
diTRACE tick=72 pid=4 pri=0 slice=0
tTRACE tick=72 pid=4 pri=0 slice=0
iTRACE tick=72 pid=4 pri=0 slice=0
oTRACE tick=72 pid=4 pri=0 slice=0
nTRACE tick=72 pid=4 pri=0 slice=0
 TRACE tick=72 pid=4 pri=0 slice=0
(TRACE tick=72 pid=4 pri=0 slice=0
JTRACE tick=72 pid=4 pri=0 slice=0
uTRACE tick=72 pid=4 pri=0 slice=0
nTRACE tick=73 pid=4 pri=0 slice=0
eTRACE tick=73 pid=4 pri=0 slice=0
 TRACE tick=73 pid=4 pri=0 slice=0
1TRACE tick=73 pid=4 pri=0 slice=0
4TRACE tick=73 pid=4 pri=0 slice=0
,TRACE tick=73 pid=4 pri=0 slice=0
TRACE tick=73 pid=4 pri=0 slice=0

TRACE tick=73 pid=4 pri=0 slice=0
2TRACE tick=73 pid=4 pri=0 slice=0
0TRACE tick=74 pid=4 pri=0 slice=0
0TRACE tick=74 pid=4 pri=0 slice=0
0TRACE tick=74 pid=4 pri=0 slice=0
)TRACE tick=74 pid=4 pri=0 slice=0
)TRACE tick=74 pid=4 pri=0 slice=0
.TRACE tick=74 pid=4 pri=0 slice=0
 TRACE tick=74 pid=4 pri=0 slice=0
 TRACE tick=74 pid=4 pri=0 slice=0
STRACE tick=74 pid=4 pri=0 slice=0
wrunner: spawn wc pid=8 priority=1
TRACE tick=75 pid=3 pri=0 slice=0
eTRACE tick=75 pid=4 pri=0 slice=0
eTRACE tick=75 pid=4 pri=0 slice=0
 TRACE tick=75 pid=4 pri=0 slice=0
aTRACE tick=75 pid=4 pri=0 slice=0
lsTRACE tick=75 pid=4 pri=0 slice=0
oTRACE tick=75 pid=4 pri=0 slice=0
 TRACE tick=76 pid=4 pri=0 slice=0
hTRACE tick=76 pid=4 pri=0 slice=0
tTRACE tick=76 pid=4 pri=0 slice=0
tTRACE tick=76 pid=4 pri=0 slice=0
pTRACE tick=76 pid=4 pri=0 slice=0
sTRACE tick=76 pid=4 pri=0 slice=0
:TRACE tick=76 pid=4 pri=0 slice=0
/TRACE tick=76 pid=4 pri=0 slice=0
/TRACE tick=76 pid=4 pri=0 slice=0
pTRACE tick=77 pid=4 pri=0 slice=0
dTRACE tick=77 pid=4 pri=0 slice=0
oTRACE tick=77 pid=4 pri=0 slice=0
